,cv_rmse_mean,cv_rmse_std,test_r2,test_mae,test_mse
Linear Regression,17.90323539821448,4.334507067144502,0.8361127913059866,12.792458004092431,313.08199792919066
Ridge Regression,17.90652743240094,4.191343162731956,0.8369533149514269,12.813224673732392,311.4763032302682
Lasso Regression,28.345225648173898,3.485232980078652,0.5861128645416035,22.539554435553065,790.6694629746155
Random Forest,17.445419424267943,3.7705838240462395,0.8353435081927492,12.054691952005529,314.55159824751223
Gradient Boosting,18.1945363777899,4.001011128096189,0.828699945277046,13.238849611459669,327.243131452523
Extra Trees,19.957045055466526,4.018430096670644,0.79376456411052,13.351016410098524,393.98195153002524
K-Nearest Neighbors,25.681498327041574,4.984440981172431,0.6804469883868002,17.392988505747127,610.4582298850576
XGBoost,17.64434782738955,3.6381189389248134,0.8365790247917175,12.201667785644531,312.1912841796875
