,cv_accuracy_mean,cv_accuracy_std,test_accuracy,f1_macro,f1_weighted
Random Forest,0.5110924390401259,0.008650460735354994,0.5357756153405838,0.35440353078793196,0.48884850929531337
Gradient Boosting,0.5166740911190236,0.008839020285343646,0.5271894676588438,0.3891773981254903,0.5134214251033411
Logistic Regression,0.5275487120879301,0.007819881204201606,0.5363480251860332,0.36512857746876154,0.5008317466660109
Extra Trees,0.49062409434482024,0.006952050424935297,0.4979965655409273,0.3917671819836129,0.49218991397276685
K-Nearest Neighbors,0.4760237295737955,0.010315191822506368,0.48368631940469375,0.34820552098474417,0.46573790582523206
